step,time,dt,m_liq,m_gas,m_sol,m_slag,E_liq,E_gas,E_sol,E_slag,P_arc,E_src_liq_arc,E_src_liq_rad,E_src_liq_chem,E_src_gas_arc,E_src_gas_rad,E_src_gas_chem,E_arc_direct_sol,E_arc_discarded,E_mc_deposit,m_melted,m_resolid,E_melt_from_solid,m_alpha_clip,E_slag_intercept,E_rad_sol,E_rad_wall,E_conv_defect,E_wall_conv,E_chem_sol,E_mc_lost,E_out_conv,E_gas_abs,E_mass_liq,m_ecs_in,E_ecs_in,m_flux_in,E_flux_in,m_fe_yield,m_fe_return,E_slag_ox,E_slag_red,E_rad_foam
0, 0.000000000E+00, 5.000000000E+00, 0.000000000E+00, 1.436086458E+02, 4.714644424E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 5.657573308E+10, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
5, 5.004000000E+00, 1.000000000E-03, 0.000000000E+00, 1.410986323E+02, 4.714644424E+05, 0.000000000E+00, 0.000000000E+00, 6.748059478E+05, 5.659961961E+10, 0.000000000E+00, 8.255504400E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 3.359162533E+08, 2.020568722E+10, 0.000000000E+00, 1.136722550E+07, 0.000000000E+00, 3.745456371E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 3.698160960E+04, 3.342118901E+04, 5.769112851E+10, 0.000000000E+00, 0.000000000E+00, 6.582174132E+07, 2.295108877E+11,-3.764611931E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
10, 5.009000000E+00, 1.000000000E-03, 0.000000000E+00, 1.420181793E+02, 4.714644424E+05, 0.000000000E+00, 0.000000000E+00, 3.227071408E+05, 5.660016821E+10, 0.000000000E+00, 8.255509900E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.434411629E+05,-1.039399230E+01, 0.000000000E+00, 1.031938462E+05, 0.000000000E+00, 3.705347042E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 3.181325746E+00, 6.767667818E+00,-1.153445026E+05, 0.000000000E+00, 0.000000000E+00, 6.614037583E+04,-1.041460772E+07,-3.297082871E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
15, 5.014000000E+00, 1.000000000E-03, 0.000000000E+00, 1.424309879E+02, 4.714644424E+05, 0.000000000E+00, 0.000000000E+00, 2.404380678E+05, 5.660106113E+10, 0.000000000E+00, 8.255515400E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.443631907E+05,-1.051664154E+01, 0.000000000E+00, 1.031939150E+05, 0.000000000E+00, 3.797536065E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.858541140E+00, 4.132041497E+00, 4.848138132E+05, 0.000000000E+00, 0.000000000E+00, 6.521855435E+04,-1.222451392E+07,-6.117954119E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
20, 5.019000000E+00, 1.000000000E-03, 0.000000000E+00, 1.431114871E+02, 4.714644424E+05, 0.000000000E+00, 0.000000000E+00, 1.382375375E+05, 5.660139978E+10, 0.000000000E+00, 8.255520900E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.444803067E+05,-4.609503025E+00, 0.000000000E+00, 1.031939838E+05, 0.000000000E+00, 3.809233921E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 9.396169566E-01, 2.864569888E+00,-1.157029694E+05, 0.000000000E+00, 0.000000000E+00, 6.510164454E+04,-3.017217730E+06,-1.024140455E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
25, 5.024000000E+00, 1.000000000E-03, 0.000000000E+00, 1.430924066E+02, 4.714644424E+05, 0.000000000E+00, 0.000000000E+00, 1.416690419E+05, 5.660154880E+10, 0.000000000E+00, 8.255526400E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.442465631E+05,-2.465801618E+00, 0.000000000E+00, 1.031940525E+05, 0.000000000E+00, 3.785845806E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 3.478294111E-01, 1.781119359E+00,-1.924995751E+05, 0.000000000E+00, 0.000000000E+00, 6.533559445E+04,-3.471965274E+06, 3.224173063E+03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
30, 5.029000000E+00, 1.000000000E-03, 0.000000000E+00, 1.428042567E+02, 4.714644424E+05, 0.000000000E+00, 0.000000000E+00, 2.312395528E+05, 5.660172871E+10, 0.000000000E+00, 8.255531900E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.439646618E+05,-4.264397459E+00, 0.000000000E+00, 1.031941213E+05, 0.000000000E+00, 3.757641932E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 9.232598865E-01, 2.242004726E+00,-7.710485879E+04, 0.000000000E+00, 0.000000000E+00, 6.561770193E+04,-1.606986691E+06, 8.908477522E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
35, 5.034000000E+00, 1.000000000E-03, 0.000000000E+00, 1.425538158E+02, 4.714644424E+05, 0.000000000E+00, 0.000000000E+00, 3.080323087E+05, 5.660189424E+10, 0.000000000E+00, 8.255537400E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.434213349E+05,-5.942398993E+00, 0.000000000E+00, 1.031941900E+05, 0.000000000E+00, 3.703295488E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.707454628E+00, 3.307538218E+00,-1.028684951E+05, 0.000000000E+00, 0.000000000E+00, 6.616123512E+04, 1.560046746E+05, 7.642296497E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
40, 5.039000000E+00, 1.000000000E-03, 0.000000000E+00, 1.421922888E+02, 4.714644424E+05, 0.000000000E+00, 0.000000000E+00, 4.139153714E+05, 5.660208445E+10, 0.000000000E+00, 8.255542900E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.442883290E+05,-8.404499050E+00, 0.000000000E+00, 1.031942588E+05, 0.000000000E+00, 3.789981152E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.671105502E+00, 4.400871317E+00,-4.979241489E+04, 0.000000000E+00, 0.000000000E+00, 6.529444723E+04, 5.694309410E+05, 1.055979522E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
45, 5.044000000E+00, 1.000000000E-03, 0.000000000E+00, 1.418749374E+02, 4.714644424E+05, 0.000000000E+00, 0.000000000E+00, 5.146732656E+05, 5.660229136E+10, 0.000000000E+00, 8.255548400E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.436762053E+05,-1.121259237E+01, 0.000000000E+00, 1.031943275E+05, 0.000000000E+00, 3.728755027E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 4.144567740E+00, 5.570968959E+00,-3.848988062E+04, 0.000000000E+00, 0.000000000E+00, 6.590677723E+04, 7.028053318E+05, 1.003519880E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
